Date,Open,High,Low,Close,Adj Close,Volume
3/20/2019,84.449997,84.629997,83.309998,83.730003,83.730003,6127000
3/21/2019,83.650002,86.110001,83.529999,86.07,86.07,5076700
3/22/2019,85.779999,86.290001,85.150002,85.580002,85.580002,4052400
3/25/2019,85.370003,85.620003,84.860001,85.260002,85.260002,2078800
3/26/2019,85.639999,86.940002,85.419998,86.93,86.93,3296800
3/27/2019,87.010002,88.029999,86.629997,87.650002,87.650002,4381100
3/28/2019,87.809998,88.089996,87.010002,87.779999,87.779999,2413500
3/29/2019,88.449997,88.650002,87.550003,88.279999,88.279999,4295200
4/1/2019,88.980003,89.480003,88.120003,89.309998,89.309998,2821600
4/2/2019,89.540001,90.18,89.269997,89.779999,89.779999,3517900
4/3/2019,90.360001,91.190002,89.699997,90.639999,90.639999,3156100
4/4/2019,90.669998,90.839996,89.410004,90.080002,90.080002,2671600
4/5/2019,90.389999,90.599998,89.620003,89.860001,89.860001,1924900
4/8/2019,89.629997,89.629997,87.980003,88.330002,88.330002,7082300
4/9/2019,87.849998,88.559998,87.68,88.230003,88.230003,4726300
4/10/2019,88.120003,88.379997,86.300003,86.75,86.75,6478400
4/11/2019,87.089996,87.169998,85.32,85.540001,85.540001,9136600
4/12/2019,86.040001,86.82,85.25,86.300003,86.300003,5758600
4/15/2019,86.449997,87.059998,85.650002,86.550003,86.550003,3938500
4/16/2019,86.660004,86.709999,84.949997,85.010002,85.010002,5085400
4/17/2019,85.260002,85.580002,84.959999,85.290001,85.290001,2984300
4/18/2019,85.919998,85.919998,85.010002,85.059998,85.059998,3588600
4/22/2019,84.610001,85.790001,84.519997,85.730003,85.730003,3857000
4/23/2019,85.760002,87.349998,85.260002,87.080002,87.080002,3410300
4/24/2019,86.919998,87.080002,85.870003,86.529999,86.529999,2621600
4/25/2019,86.540001,86.760002,85.669998,86.300003,86.300003,3051200
4/26/2019,86.410004,86.739998,84.959999,85.370003,85.370003,2587600
4/29/2019,85.370003,85.599998,84.32,85.050003,85.050003,7410300
4/30/2019,86.25,89.209999,86.18,87.239998,87.239998,6439900
5/1/2019,85.75,87.809998,84.779999,85.93,85.93,7909900
5/2/2019,85.690002,86.290001,84.629997,85.459999,85.459999,3011500
5/3/2019,85.889999,86.970001,85.440002,86.739998,86.739998,3254900
5/6/2019,85.82,88.029999,85.110001,87.800003,87.800003,3896600
5/7/2019,87.129997,87.360001,84.989998,85.540001,85.540001,4073500
5/8/2019,85.300003,85.82,84.910004,85.419998,85.419998,2378200
5/9/2019,81.910004,84.93,81.620003,84.690002,84.690002,11169300
5/10/2019,84.449997,85.25,83.129997,85.230003,85.230003,2647100
5/13/2019,83.599998,84.25,83.050003,83.360001,83.360001,3511000
5/14/2019,83.690002,85.360001,83.43,84.459999,84.459999,3314900
5/15/2019,84.120003,86,83.800003,85.870003,85.870003,4041200
5/16/2019,86.720001,87.839996,85.989998,87.779999,87.779999,3647400
5/17/2019,87.330002,87.589996,86.910004,87.300003,87.300003,2876600
5/20/2019,86.550003,87.849998,86.339996,87.18,87.18,4299000
5/21/2019,88.139999,89,87.779999,88.410004,88.410004,3323700
5/22/2019,88.410004,89.660004,88.120003,89.599998,89.599998,3459700
5/23/2019,88.82,88.970001,86.370003,87.199997,87.199997,3393200
5/24/2019,87.720001,88.160004,86.5,86.900002,86.900002,2573200
5/28/2019,87.330002,87.879997,86.739998,86.970001,86.970001,4511100
5/29/2019,86.650002,86.910004,85.949997,86.809998,86.809998,2442900
5/30/2019,86.959999,87.709999,86.610001,87.129997,87.129997,2112000
5/31/2019,86.300003,86.769997,85.190002,85.860001,85.860001,3794600
6/3/2019,86.089996,86.459999,82.239998,82.68,82.68,5528800
6/4/2019,84.230003,86.230003,83.529999,86.160004,86.160004,4355000
6/5/2019,87.449997,88.449997,87.040001,88.360001,88.360001,2841800
6/6/2019,88.269997,89.440002,88.010002,89.410004,89.410004,4204100
6/7/2019,90,90.720001,89.599998,89.739998,89.739998,3776800
6/10/2019,90.099998,91.089996,89.43,90.580002,90.580002,2392300
6/11/2019,91.269997,91.379997,88.139999,89.639999,89.639999,2773700
6/12/2019,89.709999,90.099998,88.900002,89.769997,89.769997,2789100
6/13/2019,90.080002,90.489998,88.330002,88.660004,88.660004,2044000
6/14/2019,88.699997,89.339996,88.349998,89.199997,89.199997,1806900
6/17/2019,89.169998,89.589996,88.18,88.970001,88.970001,1936400
6/18/2019,89.360001,90.089996,88.279999,89.099998,89.099998,2680800
6/19/2019,89.779999,90.099998,88.480003,90,90,2726000
6/20/2019,90.790001,91.790001,90.290001,91.690002,91.690002,3103400
6/21/2019,92.160004,92.290001,91.040001,91.480003,91.480003,4128100
6/24/2019,91.860001,92.089996,90.629997,90.809998,90.809998,2318100
6/25/2019,90.870003,91.019997,89.730003,90.279999,90.279999,2415600
6/26/2019,91.220001,92.199997,90.139999,90.190002,90.190002,2594000
6/27/2019,90.339996,91.279999,90.120003,90.830002,90.830002,3188800
6/28/2019,91.029999,91.379997,90.470001,91.160004,91.160004,4179200
7/1/2019,92.300003,92.690002,91.330002,92.510002,92.510002,3006700
7/2/2019,92.540001,93.610001,92.150002,93.589996,93.589996,2902500
7/3/2019,94.370003,94.440002,93.660004,94.230003,94.230003,1460400
7/5/2019,93.339996,94.480003,92.510002,94.459999,94.459999,1593100
7/8/2019,94.099998,94.599998,93.519997,93.580002,93.580002,2547900
7/9/2019,92.82,93.900002,92.279999,93.839996,93.839996,3104200
7/10/2019,94.360001,94.889999,93.300003,93.860001,93.860001,2582100
7/11/2019,93.800003,94.300003,93.169998,93.690002,93.690002,3118200
7/12/2019,93.870003,94.639999,93.330002,94.510002,94.510002,2322300
7/15/2019,94.940002,95.419998,94.400002,94.75,94.75,2398400
7/16/2019,94.720001,95.220001,93.660004,93.910004,93.910004,2051100
7/17/2019,94.110001,94.699997,93.599998,94.110001,94.110001,2769300
7/18/2019,94.169998,96.980003,94,96.870003,96.870003,10758200
7/19/2019,96.720001,97.25,94.900002,95.389999,95.389999,6020700
7/22/2019,95.830002,96.160004,95.199997,95.300003,95.300003,3724500
7/23/2019,95.769997,95.769997,94.330002,95.300003,95.300003,3284200
7/24/2019,95.07,95.290001,92.860001,94.169998,94.169998,3579300
7/25/2019,95.470001,97.18,94.5,96.360001,96.360001,7095300
7/26/2019,98.970001,104.309998,98.510002,102.300003,102.300003,22063400
7/29/2019,102.709999,105.019997,102.489998,104.639999,104.639999,41146400
7/30/2019,102.779999,104.220001,102.779999,103.910004,103.910004,11513700
7/31/2019,104.839996,106.879997,103.970001,105.43,105.43,8796200
8/1/2019,107.059998,107.059998,104.18,104.660004,104.660004,6432800
8/2/2019,103.900002,104.830002,103.25,104.32,104.32,4358200
8/5/2019,102.730003,103.360001,99.550003,100.449997,100.449997,7151800
8/6/2019,101.18,103.300003,101.139999,103.019997,103.019997,5443200
8/7/2019,101.790001,105.5,101.169998,104.970001,104.970001,5600900
8/8/2019,105.919998,106.199997,105.010002,105.43,105.43,4645000
8/9/2019,105.080002,105.550003,104.050003,105.300003,105.300003,4169300
8/12/2019,104.93,105.730003,103.5,104.209999,104.209999,5054600
8/13/2019,104.25,105.82,103.849998,105.779999,105.779999,8441800
8/14/2019,104.639999,105.25,101.669998,102.400002,102.400002,3841500
8/15/2019,102.519997,105.93,101.989998,105.489998,105.489998,5205900
8/16/2019,106.419998,107.480003,105.540001,107.260002,107.260002,5758400
8/19/2019,108.099998,108.57,106.669998,107.75,107.75,5335700
8/20/2019,107.540001,108,106.849998,106.989998,106.989998,4713500
8/21/2019,107.769997,108,106.93,107.559998,107.559998,2552600
8/22/2019,107.989998,108.540001,106.949997,108.160004,108.160004,2818800
8/23/2019,107.809998,108.190002,104.339996,104.68,104.68,4545600
8/26/2019,105.510002,106.410004,105.040001,106.379997,106.379997,3320100
8/27/2019,107.190002,107.339996,106.089996,106.980003,106.980003,3451900
8/28/2019,106.379997,106.959999,105.760002,106.75,106.75,1491300
8/29/2019,107.849998,108.279999,107.32,107.639999,107.639999,1990900
8/30/2019,108.050003,108.32,106.32,106.940002,106.940002,4353300
9/3/2019,107.089996,107.209999,105.620003,105.839996,105.839996,2529100
9/4/2019,106.360001,106.660004,105.760002,106.290001,106.290001,3608400
9/5/2019,107.629997,108.82,106.879997,108.699997,108.699997,4913800
9/6/2019,108.669998,109.919998,108.559998,108.620003,108.620003,4046900
9/9/2019,108.809998,109.199997,105.919998,106.68,106.68,4541700
9/10/2019,105.720001,106.190002,101.900002,103.690002,103.690002,4909200
9/11/2019,103.300003,103.720001,101.339996,102,102,4683300
9/12/2019,103.290001,104.809998,102.93,103.889999,103.889999,4468600
9/13/2019,103.760002,103.959999,102.059998,102.599998,102.599998,2856000
9/16/2019,101.779999,104.32,101.5,103.620003,103.620003,2489700
9/17/2019,104.550003,105.25,104.059998,104.82,104.82,2501100
9/18/2019,105,105,102.669998,104.339996,104.339996,4558600
9/19/2019,104.019997,105.839996,104.010002,104.910004,104.910004,4901700
9/20/2019,105.059998,106.089996,103.879997,104.080002,104.080002,6540000
9/23/2019,103.379997,105.239998,103.379997,105.040001,105.040001,4122700
9/24/2019,105.339996,106.760002,103.540001,103.760002,103.760002,6810300
9/25/2019,104.18,104.580002,102.330002,103.940002,103.940002,3422600
9/26/2019,104.190002,105.330002,103.809998,105.07,105.07,3610100
9/27/2019,105.709999,105.790001,102.120003,102.610001,102.610001,3023500
9/30/2019,102.699997,103.809998,102.669998,103.589996,103.589996,2206300
10/1/2019,103.93,104.580002,102.720001,103.150002,103.150002,1978700
10/2/2019,102.269997,102.339996,99.75,100.959999,100.959999,3657500
10/3/2019,101.029999,103.230003,100.18,103.050003,103.050003,2618300
10/4/2019,103.660004,105.860001,103.639999,105.699997,105.699997,3355400
10/7/2019,105,105.309998,104.019997,104.589996,104.589996,2504100
10/8/2019,103.739998,104.5,102.169998,103.110001,103.110001,2397600
10/9/2019,103.519997,105.089996,103.220001,104.699997,104.699997,1964800
10/10/2019,104.040001,105.559998,103.639999,105.139999,105.139999,2065100
10/11/2019,106.089996,106.760002,105.43,105.68,105.68,1929900
